36.,"Jalan Tol Bekasi-Cawang-Kp. Melayu (21,04km)",Provinsi Jawa Barat-Provinsi DKI Jakarta
37.,Jalan Tol Bogor Ring Road (11km),Provinsi Jawa Barat
38.,Jalan Tol Serpong-Balaraja (30km),Provinsi Banten
39.,Jalan Tol Batu Ampar-Muka Kuning-Bandara Hang Nadim (25km),Provinsi Kepulauan Riau
40.,"Jalan Tol Semanan-Sunter 20,23 km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
41.,"Jalan Tol Sunter-Pulo Gebang 9,44km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
42.,"Jalan Tol Duri Pulo-Kampung Melayu 9,6km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
43.,"Jalan Tol Kemayoran-Kampung Melayu 9,6km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
44.,"Jalan Tol Ulujami-Tanah Abang 8,7km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
45.,"Jalan Tol Pasar Minggu-Casablanca 9,16 km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
46.,Jalan Tol Sigli-Banda Aceh (75km),Aceh
47.,Jalan Tol Binjai-Langsa (110),"Aceh, Sumatera Utara"
48.,Jalan Tol Bukittinggi-Padang Panjang-Lubuk Alung-Padang (200km),Sumatera Barat
49.,Jalan Tol Rantau Prapat-Kisaran (100km),Sumatera Utara
50.,Jalan Tol Langsa-Lhokseumawe (135km),Aceh
51.,Jalan Tol Lhokseumawe-Sigli (135km),Aceh
52.,Jalan Tol Pekanbaru-Bangkinang-Payakumbuh-Bukittinggi (185km),"Sumatera Barat, Riau"
53.,Jalan Tol Tebing Tinggi-Pematang Siantar-Prapat-Tarutung-Sibolga (200km),Sumatera Utara
54.,Jalan Tol Betung (Sp. Sekayu)-Tempino-Jambi (191km),Jambi-Sumatera Selatan
55.,Jalan Tol Jambi-Rengat (190km),Jambi
56.,Jalan Tol Rengat-Pekanbaru (175km),Riau
57.,Jalan Tol Dumai-Sp. Sigambal-Rantau Prapat (175km),Riau-Sumatera Utara
58.,Jalan Tol Simpang Indralaya-Muara Enim (110km),Sumatera Selatan
59.,Jalan Tol Muara Enim-Lubuk Linggau-Lahat (125km),Sumatera Selatan
60.,Jalan Tol Lubuk Linggau-Curup-Bengkulu (95km),Sumatera Selatan-Bengkulu
61.,"Jalan Tol Pasuruan-Probolinggo (31,3km)", Jawa Timur
62.,"Jalan Tol Probolinggo-Banyuwangi (170,36km)", Jawa Timur
63.,Jalan Tol Krian-Legundi-Bunder-Manyan (39km), Jawa Timur
64.,"Jalan Tol Jakarta Cikampek II Sisi Selatan (36,4km)",DKI Jakarta-Jawa Barat
65.,Jalan Tol Jakarta-Cikampek II Elevated (64km), DKI Jakarta-Jawa Barat
66.,"Jalan Tol Yogyakarta-Solo (40,49km)", Jawa Tengah
67.," Jalan Tol Semarang-Demak (23,99km)", Jawa Tengah
68., Jalan Tol Sukabumi-Ciranjang-Padalarang (61km), Jawa Barat
69., Jalan Tol Yogyakarta-Bawen (71km), Yogyakarta
70.,Pembangunan Jalan Lingkar Trans Morotai,Provinsi Maluku Utara
71.,Jalan Palu-Parigi,Provinsi Sulawesi Tengah
72.,Pembangunan Fly Over dari dan Menuju Terminal Teluk Lamong,Provinsi Jawa Timur
73.,Jalan Penghubung Gorontalo-Manado,Provinsi Gorontalo-Provinsi Sulawesi Utara
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
No.,Nama Proyek,Lokasi
1.,Kereta Api Makassar-Parepare (Tahap I dari pengembangan jalur Lintas Barat Sulawesi Bag. Selatan),Provinsi Sulawesi Selatan
2.,Kereta Api Prabumulih-Kertapati (80km-bagian dari Jaringan Kereta Api Trans Sumatera),Provinsi Sumatera Selatan
3.,Kereta Api Kertapati-Simpang-Tanjung Api-Api (bagian dari Jaringan Kereta Api Trans Sumatera),Provinsi Sumatera Selatan
4.,"Kereta Api Tebing Tinggi-Kuala Tanjung (Mendukung KEK Sei Mangkei, bagian dari Jaringan Kereta Api Trans Sumatera)",Provinsi Sumatera Utara
5.,Kereta Api Purukcahu-Bangkuang,Provinsi Kalimantan Tengah
6.,Pembangunan rel Kereta Api Provinsi Kalimantan Timur,Provinsi Kalimantan Timur
7.,Double Track Jawa Selatan,"Provinsi Jawa Barat, Provinsi Jawa Tengah, Provinsi DI Yogyakarta, dan Provinsi Jawa Timur"
8.,High Speed Train Jakarta-Bandung,Provinsi DKI Jakarta-Provinsi Jawa Barat
9.,Kereta Api Muara Enim-Pulau Baai,Provinsi Bengkulu-Provinsi Sumatera Selatan
10.,Kereta Api Tanjung Enim-Tanjung Api-Api,Provinsi Sumatera Selatan
11.,Kereta Api Jambi-Pekanbaru,Provinsi Jambi-Provinsi Riau
12.,Kereta Api Jambi-Palembang,Provinsi Jambi-Provinsi Sumatera Selatan
13.,Kereta Api Rantau Prapat-Duri-Pekanbaru, Sumatera Utara-Riau
14.,Kereta Api Akses Bandara Baru Yogyakarta-Kulon Progo, D.I. Yogyakarta
15.,Kereta Api Jakarta-Surabaya, DKI Jakarta-Jawa Timur
16.,Kereta Api Akses Bandara Adi Sumarmo, Jawa Tengah
17.,Mass Rapid Transit (MRT) Jakarta Koridor North-South,Provinsi DKI Jakarta
18.,Mass Rapid Transit (MRT) Jakarta Koridor East-West,Provinsi DKI Jakarta
19.,Kereta api ekspres SHIA (Soekarno Hatta-Sudirman),Provinsi DKI Jakarta-Provinsi Banten
20.,Jabodetabek Circular Line,Provinsi DKI Jakarta
21.,"Penyelenggaraan Kereta Api Ringan/Light Rail Transit (LRT) Terintegrasi di Wilayah Jakarta, Bogor, Depok dan Bekasi",Provinsi DKI Jakarta-Provinsi Jawa Barat
22.,Penyelenggaraan Perkeretaapian Umum di wilayah Provinsi DKI Jakarta,Provinsi DKI Jakarta
23.,Light Rail Transit (LRT) Sumatera Selatan (Metro Palembang),Provinsi Sumatera Selatan
No.,Nama Proyek,Lokasi
1.,"S. Babullah, Ternate",Provinsi Maluku Utara
2.,"Raden Inten II, Lampung",Provinsi Lampung
3.,"Tjilik Riwut, Palangkaraya",Provinsi Kalimantan Tengah
4.,Sebatik,Provinsi Kalimantan Utara
5.,Bandara Kertajati,Provinsi Jawa Barat
6.,Bandara Internasional di Propinsi D.I. Yogyakarta,Provinsi DI Yogyakarta
7.,Bandara Udara Syamsuddin Noor,Kalimantan Selatan
8.,"Pengembangan Bandara Achmad Yani, Semarang",Provinsi Jawa Tengah
No.,Nama Proyek,Lokasi
1.,Pengembangan pelabuhan internasional Kuala Tanjung,Provinsi Sumatera Utara
2.,Pengembangan pelabuhan hub internasional Bitung,Provinsi Sulawesi Utara
3.,Pelabuhan KEK Maloy,Provinsi Kalimantan Timur
4.,Inland Waterways/CBL Cikarang-Bekasi- Laut Jawa,"Provinsi DKI Jakarta, Provinsi Jawa Barat"
5.,Pembangunan Pelabuhan Patimban,Provinsi Jawa Barat
6.,Pembangunan Pelabuhan Sorong,Provinsi Papua Barat
7.,Makassar New Port,Provinsi Sulawesi Selatan
8.,"Pengembangan pelabuhan Palu (Pantoloan, Teluk Palu)",Provinsi Sulawesi Tengah
9.,Pengembangan Pelabuhan Kijing,Provinsi Kalimantan Barat
10.,Pengembangan Pelabuhan Kupang,Provinsi Nusa Tenggara Timur
No.,Nama Proyek,Lokasi
1.,"Pembangunan Rumah Susun

Pembangunan 2.332 unit Rumah Susun Sewa di Pasar Minggu (DKI Jakarta) (Tahap 1)
Pembangunan 2.396 unit Rumah Susun Sewa di Pasar Rumput (DKI Jakarta) (Tahap 1)
Pembangunan 500 unit Rumah Susun Sewa di Pondok Kelapa (DKI Jakarta) (Tahap 1)

",Provinsi DKI Jakarta
2.,Pembangunan Rumah Khusus di Wilayah Perbatasan,Lokasi Belum Ditentukan
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan
No.,Nama Proyek,Lokasi
1.,Kilang Minyak Bontang,Provinsi Kalimantan Timur
2.,Kilang Minyak Tuban (ekspansi),Provinsi Jawa Timur
3.,Upgrading kilang-kilang eksisting (RDMP),"Provinsi Jawa Tengah, Provinsi Kepulauan Riau, Provinsi Sumatera Selatan, Provinsi Jawa Barat dan Provinsi Kalimantan Timur"
4.,Pembangunan Jaringan Gas Bumi untuk Rumah Tangga,"Provinsi Sumatera, Kalimantan dan Jawa"
5.,Konstruksi Tangki Penyimpanan BBM,Indonesia Bagian Timur
6.,Konstruksi Tangki Penyimpanan LPG,Indonesia Bagian Timur
7.,Pengembangan Lapangan Abadi Wilayah Kerja Masela,Provinsi Maluku
8.,"Pengembangan Lapangan Gendalo, Maha, Gandang, Gahem, dan Bangka (Indonesia Deepwater Development Project/IDD)",Provinsi Kalimantan Timur
9.,Proyek Tangguh LNG Train 3,Provinsi Papua Barat
10.,Pengembangan Lapangan Jangkrik dan Jangkrik North East Wilayah Kerja Muara Bakau,Provinsi Kalimantan Timur
11.,Pengembangan Lapangan Unitisasi Gas Jambaran-Tiung Biru,Provinsi Jawa Timur
12.,"Energi asal sampah kota-kota besar (Semarang, Makassar, Tangerang)","Provinsi Jawa Tengah, Provinsi Sulawesi Selatan, Provinsi Banten"
No.,Nama Proyek,Lokasi
1.,Sistem Penyediaan Air Minum (SPAM) Semarang Barat,Provinsi Jawa Tengah
2.,Sistem Penyediaan Air Minum (SPAM) Regional Jatigede,Provinsi Jawa Barat
3.,Sistem Penyediaan Air Minum (SPAM) Umbulan,Provinsi Jawa Timur
4.,Sistem Penyediaan Air Minum (SPAM) Lampung,Provinsi Lampung
5.,Sistem Penyediaan Air Minum (SPAM) Regional Mamminasata,Provinsi Sulawesi Selatan
6.,Sistem Penyediaan Air Minum (SPAM) Regional Jatiluhur,Provinsi Jawa Barat
7.,Sistem Penyediaan Air Minum (SPAM) Regional Mebidang,Provinsi Sumatera Utara
8.,Sistem Penyediaan Air Minum (SPAM) Regional Wasusokas,Provinsi Jawa Tengah
9.,Jakarta Sewerage System/Pengolahan Limbah Jakarta,Provinsi DKI Jakarta
No.,Nama Proyek,Lokasi
1.,National Capital Integrated Coastal Development (NCICD) Tahap A,Provinsi DKI Jakarta
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan
3.,Pembangunan Bantuan Rumah Swadaya,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan,Lokasi Belum Ditentukan
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
No.,Nama Proyek,Lokasi
1.,Pembangunan Jaringan Irigasi DI. Lhok Guci,Aceh
2.,Pembangunan Jaringan Irigasi DI. Jambo Aye Kanan,Aceh
3.,Pembangunan Jaringan Irigasi DI. Lematang,Sumatera Selatan
4.,Pembangunan Saluran Suplesi DI. Umpu System (Way Besai),Sumatera Selatan
4.,Pembangunan Jaringan Irigasi DI. Leuwigoong Kab. Garut,Jawa Barat
5.,Pembangunan Bendung dan Jaringan Irigasi DI. Baliase,Sulaawesi Selatan
6.,Pembangunan Bendung dan Jaringan Irigasi DI. Gumbasa, Sulawesi Tengah
No.,Nama Proyek,Lokasi
1.,Palapa Ring Broadband (Eastern part) di total 57 Kab/Kota),Nasional
2.,Palapa Ring Broadband (457 kab/kota),Nasional
3.,Percepatan Pembangunan Technopark,Nasional
4.,Proyek Satelit Multifungsi,Orbit
No.,Nama Proyek,Lokasi
1.,Kuala Tanjung,Provinsi Sumatera Utara
2.,Sei Mangkei,Provinsi Sumatera Utara
3.,Tanjung Api-Api,Provinsi Sumatera Selatan
4.,Tanjung Lesung,Provinsi Banten
5.,Landak,Provinsi Kalimantan Barat
6.,Ketapang,Provinsi Kalimantan Barat
7.,Tanggamus,Provinsi Lampung
8.,Batulicin,Provinsi Kalimantan Selatan
9.,Jorong,Provinsi Kalimantan Selatan
10.,Maloy Batuta Trans Kalimantan,Provinsi Kalimantan Timur
11.,Palu,Provinsi Sulawesi Tengah
12.,Bantaeng,Provinsi Sulawesi Selatan
13.,Bitung,Provinsi Sulawesi Utara
14.,Morowali,Provinsi Sulawesi Tengah
15.,Konawe,Provinsi Sulawesi Tenggara
16.,Mandalika,Provinsi Nusa Tenggara Barat
17.,"Buli, Halmahera Timur",Provinsi Maluku Utara
18.,Morotai,Provinsi Maluku Utara
19.,Teluk Bintuni,Provinsi Papua Barat
20.,Belitung,Provinsi Bangka Belitung
21.,Kendal,Provinsi Jawa Tengah
22., Dumai, Provinsi Riau
23., Tanjung Buton, Provinsi Riau
24., Tanah Kuning, Provinsi Kalimantan Utara
25., Wilmar Serang, Provinsi Banten
26.,Percepatan infrastruktur Kawasan Ekonomi Khusus Sorong,Provinsi Papua Barat
27.,Percepatan infrastruktur Kawasan Ekonomi Khusus Lhokseumawe,Provinsi Aceh
28.,Percepatan infrastruktur Kawasan Ekonomi Khusus Merauke,Provinsi Papua
29.,Java Integrated Industrial Port Estate (JIIPE) Gresik,Jawa Timur
30.,"Percepatan infrastruktur transportasi, listrik, dan air bersih untuk 10 kawasan strategis pariwisata nasional (KSPN) Prioritas Danau Toba, Pulau Seribu, Tanjung Lesung dan 7 kawasan lainnya","Provinsi Sumatera Utara, Provinsi DKI Jakarta, Provisi Banten, Provinsi Jawa Timur, Provinsi Nusa Tenggara Timur, Provinsi Nusa Tenggara Barat, Provinsi Maluku Utara, Provinsi DI Yogyakarta, Provisi Sulawesi Tenggara dan Provinsi Bangka Belitung"
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur
No.,Nama Proyek,Lokasi
1.,Pembangunan Sentra Kelautan dan Perikanan Terpadu Talaud,SulawesiUtara
 , , 
No.,Nama Proyek,Lokasi
 1,HIGH VOLTAGE DIRECT CURRENT (HVDC),"Sumatera Selatan, Lampung, Banten, Jawa Barat"
 2,PLTU Mulut Tambang,Sumatera Selatan
 3,Transmisi Sumatera 500 kV,Sumatera
 4,Central–West Java Transmission Line 500kV,"Jawa Barat, Jawa Tengah"
 5,PLTU Indramayu,Jawa Barat
 6,PLTU Batang,Jawa Tengah
 7,PLTA Karangkates IV & V (2x50MW),Jawa Timur
 8,PLTA Kesamben (37MW),Jawa Timur
 9,PLTA Lodoyo (50MW),Jawa Timur
No.,Nama Proyek,Lokasi
1.,Program Industri Pesawat Jarak Menengah (R80),Jawa Barat
2.,Program Industri Pesawat Jarak Menengah N-245,Jawa Barat
